2019-06-05 11:17:42,080 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-06-05 11:18:43,777 [Worker-17] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.qa:AccountSETemplate:0.0.1-SNAPSHOT @ C:\Users\Admin\Desktop\API-maven\AccountSETemplateGit-modelanswer\pom.xml.
2019-06-05 11:18:44,660 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /AccountSETemplateGit-modelanswer/src/main/java
2019-06-05 11:18:44,661 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /AccountSETemplateGit-modelanswer/src/test/java
2019-06-05 11:18:46,774 [Worker-17] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 6 sec
2019-06-05 11:18:47,636 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-05 11:18:47,652 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Desktop\API-maven\AccountSETemplateGit-modelanswer\src\main\resources
2019-06-05 11:18:47,654 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-05 11:18:47,659 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Desktop\API-maven\AccountSETemplateGit-modelanswer\src\test\resources
2019-06-05 11:18:52,402 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-05 11:18:52,408 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Desktop\API-maven\AccountSETemplateGit-modelanswer\src\main\resources
2019-06-05 11:18:52,409 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-05 11:18:52,416 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Desktop\API-maven\AccountSETemplateGit-modelanswer\src\test\resources
2019-06-05 11:19:49,014 [Worker-0] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Admin\Desktop\API-maven\AccountSETemplateGit-modelanswer
2019-06-05 11:19:49,015 [Worker-0] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2019-06-05 11:19:50,843 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
